num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
84953	490405.376001	80.299539	-4.803997	1.513248	10.936223
84955	490407.448391	57.280622	1.217645	1.546190	10.811477
84959	490411.596327	56.506764	1.139335	1.526614	11.280069
84975	490428.187273	56.552417	1.115887	1.524636	10.964133
84989	490442.702546	56.519883	1.118184	1.524965	10.930140
84991	490444.775699	56.374707	1.216295	1.526019	10.707195
85007	490461.365782	56.513752	1.127011	1.522887	11.446573
85037	490492.470518	56.493065	1.120886	1.521086	10.858577
85045	490500.765224	56.510625	1.127044	1.520629	10.706788
85051	490506.987221	56.511810	1.126086	1.519680	10.906855
85059	490515.281847	56.506150	1.122403	1.519735	10.895039
85065	490521.502729	56.345063	1.119876	1.519487	11.082689
85073	490529.797758	56.482527	1.126219	1.517702	10.723616
85079	490536.018922	56.329041	1.113869	1.517675	11.303298
85081	490538.092372	56.422306	1.213558	1.518838	10.705670
85087	490544.313886	56.506171	1.110558	1.517034	10.704406
85089	490546.387409	57.212796	1.215920	1.534846	11.088539
85095	490552.608581	56.385996	1.208196	1.516984	11.238072
85099	490556.756350	56.645062	1.130928	1.524426	11.165488
85107	490565.051159	56.484300	1.107511	1.514975	10.679463
85119	490577.493281	56.510133	1.115778	1.514406	10.740258
85121	490579.567135	57.390007	1.186324	1.530631	11.462456
85125	490583.714216	56.511474	1.112990	1.513416	11.489549
85127	490585.787919	56.390108	1.218967	1.514697	10.922429
85149	490608.598759	56.346843	1.214119	1.512950	10.929923
85151	490610.672410	57.218296	1.219343	1.528256	10.562491
85157	490616.894076	56.444197	1.120388	1.509386	10.760175
85161	490621.041058	56.572241	1.105415	1.510172	10.351075
85167	490627.262075	56.527803	1.106427	1.509133	11.048083
85171	490631.410177	56.457614	1.106337	1.510673	11.026870
85181	490641.778235	56.514365	1.114396	1.508604	11.071071
85185	490645.925691	56.549368	1.112098	1.507352	10.826185
85187	490647.999182	57.376661	1.231637	1.525435	10.993191
85217	490679.105475	56.565768	1.097236	1.505104	11.105830
85221	490683.252599	56.108444	1.204018	1.506833	10.961849
85225	490687.400023	56.572409	1.099481	1.504526	11.016095
85235	490697.768679	56.342329	1.100703	1.504466	11.080174
85239	490701.915976	56.541780	1.102021	1.502882	10.946736
85243	490706.063561	56.547126	1.089865	1.502331	10.677766
85259	490722.652958	56.530914	1.102276	1.502480	11.382478
85261	490724.726476	57.458876	1.184611	1.518385	11.073952
85263	490726.800188	56.770542	1.107053	1.502319	10.969489
85265	490728.873831	57.284071	1.200234	1.516690	10.630009
85269	490733.021324	56.502475	1.099218	1.501844	10.918347
85271	490735.094674	56.458518	1.201326	1.502732	10.899529
85273	490737.168844	57.411061	1.196400	1.517363	11.180536
85281	490745.463781	56.530444	1.106120	1.500013	11.560424
85283	490747.537524	56.453481	1.183045	1.500982	11.189114
85285	490749.610699	57.326955	1.206875	1.515638	10.916372
85297	490762.053576	56.565100	1.091113	1.498418	10.673998
85315	490780.715868	56.579410	1.092742	1.496844	10.968024
85317	490782.789679	57.245207	1.176205	1.513026	11.213492
85333	490799.379545	56.569959	1.098651	1.494938	10.594344
85335	490801.452773	56.407270	1.197982	1.496462	11.083771
85337	490803.526756	56.395952	1.199197	1.496622	10.926511
85339	490805.600806	56.353906	1.183749	1.496247	10.959044
85341	490807.673893	57.335420	1.216677	1.510861	11.102295
85345	490811.821516	56.581296	1.102189	1.494383	10.976319
85347	490813.895526	57.383669	1.179428	1.509807	10.626821
85363	490830.484672	56.576227	1.098853	1.492971	10.807806
85365	490832.558596	57.407179	1.191924	1.508591	11.049661
85367	490834.632153	56.577387	1.121105	1.493305	11.350581
85373	490840.853718	56.606789	1.118191	1.490890	11.147925
85379	490847.074811	56.600240	1.118468	1.491315	11.047816
85389	490857.442856	56.571373	1.116069	1.491263	10.813299
85391	490859.516304	57.121078	1.218296	1.509235	10.937713
85399	490867.811268	56.629587	1.120819	1.489249	10.632727
85413	490882.327468	56.583124	1.123717	1.488646	10.812424
85419	490888.548585	55.970703	-3.821986	1.493108	11.091175
85427	490896.843266	56.572648	1.092045	1.487993	10.918560
85429	490898.917143	56.427743	1.204355	1.489478	11.198469
85431	490900.990986	56.204032	1.194487	1.488241	11.013505
85433	490903.064357	57.562368	1.214091	1.506006	10.697393
85437	490907.212204	56.392424	1.222736	1.487621	10.934031
85441	490911.358897	56.216332	-3.327965	1.488541	10.576035
85443	490913.433483	56.532774	1.149216	1.484511	11.006867
85449	490919.653979	56.610225	1.113031	1.486259	11.122979
85453	490923.801678	56.548876	1.113442	1.485406	10.673349
85481	490952.833563	57.564609	1.198627	1.499504	11.026182
85495	490967.349612	56.589656	1.115860	1.482750	10.870036
85497	490969.422819	56.496962	1.218864	1.483482	11.110613
85499	490971.496873	56.396882	1.219263	1.484002	11.322742
85501	490973.570471	57.624694	1.200979	1.498822	10.888694
85505	490977.717834	56.606844	1.113595	1.480169	10.976378
85509	490981.864961	56.365871	1.194412	1.482632	10.256289
85513	490986.012848	56.611948	1.102362	1.480591	11.090006
85517	490990.159196	56.627683	1.099979	1.480653	10.426649
85519	490992.233355	56.419966	1.204813	1.482543	11.167646
85527	491000.528507	56.652697	1.094385	1.478774	10.931207
85537	491010.897285	56.578570	1.101591	1.479482	10.600141
85539	491012.970461	57.590376	1.217321	1.495398	10.928487
85551	491025.412908	56.579714	1.106777	1.477481	10.904253
85559	491033.707612	56.622999	1.099757	1.477154	10.929341
85563	491037.855314	56.635660	1.109225	1.476179	11.330455
85575	491050.296942	56.602530	1.117133	1.476030	11.259636
85579	491054.444792	56.617218	1.115979	1.475891	10.942556
85581	491056.518067	56.487651	1.194870	1.476569	10.772449
85583	491058.592541	57.737872	1.225743	1.491149	10.773359
85599	491075.181508	56.634166	1.121631	1.473812	11.289257
85601	491077.255305	57.549696	1.232074	1.490063	10.821560
85609	491085.549877	57.560801	1.210890	1.488680	11.008188
85615	491091.770972	56.613841	1.109498	1.472605	10.525372
85629	491106.286935	56.565716	1.108052	1.470753	10.834642
85637	491114.582232	56.546167	1.114605	1.471442	10.618491
85643	491120.802815	57.435910	1.104060	1.478712	10.578489
85645	491122.876043	56.889294	1.137691	1.471072	10.625240
85649	491127.023977	56.601124	1.115111	1.470550	10.834058
85657	491135.319200	56.012571	1.219489	1.471587	10.740007
85659	491137.392337	56.537634	1.211513	1.471300	10.999980
85661	491139.465736	56.440575	1.219036	1.471175	11.333530
85663	491141.539511	57.160301	1.190398	1.486578	10.915188
85667	491145.686930	56.620340	1.098342	1.467343	10.805759
85675	491153.982206	56.610192	1.113880	1.467764	10.929197
85677	491156.055683	56.388872	1.202904	1.469331	11.110158
85679	491158.129087	57.054627	1.233689	1.487367	10.489984
85691	491170.571731	56.570894	1.137502	1.465270	10.845782
85695	491174.718782	56.647078	1.113372	1.465434	10.700138
85721	491201.676775	56.650394	1.101018	1.462816	11.003917
85729	491209.971270	56.675242	1.108115	1.464423	11.016773
85737	491218.266058	56.626086	1.127526	1.463890	11.219796
85739	491220.340134	57.657786	1.209995	1.477918	10.949637
85743	491224.486768	56.620725	1.108914	1.463193	10.940561
85747	491228.634740	56.669558	1.111344	1.460926	11.072989
85751	491232.782215	57.618996	1.232279	1.479203	10.916011
85753	491234.856155	56.637428	1.115636	1.462193	11.362380
85761	491243.150165	56.603382	1.111590	1.461353	10.919732
85767	491249.371540	56.832955	1.119834	1.461418	11.018461
85771	491253.518651	56.608356	1.094952	1.460371	11.231717
85775	491257.666334	56.616630	1.123448	1.457825	10.975550
85795	491278.403825	56.639931	1.111857	1.458636	11.223084
85797	491280.477259	55.988531	1.208159	1.460382	11.067914
85801	491284.624600	56.725002	1.095519	1.457133	10.856327
85805	491288.771637	56.624046	1.089825	1.456603	10.793277
85819	491303.287485	56.552518	1.105402	1.456085	10.755486
85821	491305.361005	56.586644	1.123902	1.454242	11.344892
85823	491307.434819	56.639608	1.111731	1.455976	11.224687
85831	491315.729810	56.472267	1.206761	1.457544	11.161868
85835	491319.876740	56.548500	1.190615	1.457028	10.712815
85837	491321.950752	57.725817	1.186712	1.470344	10.766144
85841	491326.097980	56.490546	1.168554	1.456456	10.953363
85853	491338.540374	56.592504	1.070546	1.454414	11.162623
85865	491350.982415	56.501582	1.071549	1.453072	11.450353
85867	491353.056116	57.644948	1.177281	1.468040	11.273048
85881	491367.571809	56.687062	1.076200	1.450208	10.794301
85901	491388.309344	56.638040	1.103525	1.449659	10.626024
85903	491390.382814	56.594769	1.084029	1.447892	11.110326
85917	491404.898683	56.410198	1.156822	1.450075	10.944939
85921	491409.046411	56.629255	1.079331	1.448434	10.627285
85923	491411.119563	57.606435	1.177268	1.463324	10.996557
85927	491415.267126	57.649161	1.178950	1.462753	10.980900
85929	491417.341081	56.636612	1.074585	1.447536	11.423045
85933	491421.487845	56.703324	1.073259	1.447549	10.711066
85935	491423.562287	56.474302	1.173364	1.448876	10.969387
85945	491433.930159	56.896955	1.100350	1.447166	10.869353
85949	491438.077345	56.644975	1.089510	1.446275	11.128984
85951	491440.151356	56.758881	1.102614	1.444674	11.262808
85961	491450.519277	56.936235	1.089018	1.445703	11.169411
85965	491454.666493	56.525892	1.087107	1.443656	11.092973
85979	491469.182215	56.910690	1.114980	1.444212	11.181308
85991	491481.625158	56.837836	1.115831	1.443225	10.746618
85999	491489.919504	56.888705	1.084815	1.441870	11.124260
86001	491491.993293	56.629182	1.111334	1.442806	10.792836
86021	491512.730274	56.503229	1.124290	1.441040	10.677724
86027	491518.951092	56.610010	1.125820	1.440859	11.076682
86029	491521.025070	56.400821	1.192482	1.442171	11.277944
86045	491537.614503	56.637224	1.122424	1.437185	10.826087
86051	491543.835524	56.740725	1.095703	1.437605	10.932642
86059	491552.130018	56.694902	1.120399	1.438690	11.374355
86061	491554.203808	57.809348	1.240171	1.453905	11.258018
86065	491558.351150	56.617342	1.117209	1.437995	10.594517
86075	491568.719352	57.455069	1.232227	1.455439	11.374595
86087	491581.161640	56.640182	1.111155	1.434420	10.822268
86095	491589.456047	56.798647	1.115996	1.434599	10.713941
86101	491595.677634	56.866746	1.126651	1.435968	10.995004
86107	491601.898373	56.658757	1.119816	1.434907	11.252875
86117	491612.266699	56.961843	1.133495	1.434575	10.760779
86121	491616.413884	56.683309	1.105484	1.431839	11.145307
86129	491624.708864	56.679999	1.120747	1.433733	10.970853
86131	491626.781978	56.510894	1.193293	1.434715	10.839992
86139	491635.077193	56.681907	1.111298	1.432579	11.170378
86141	491637.150939	56.489119	1.196266	1.433753	11.118510
86147	491643.371840	56.645794	1.106892	1.430913	11.060137
86149	491645.445706	56.514575	1.178973	1.432438	11.264992
86155	491651.666422	56.703337	1.107356	1.431653	11.181434
86157	491653.740470	56.427349	1.167190	1.432740	11.097749
86159	491655.813634	56.504263	1.167456	1.431621	11.266175
86163	491659.961382	56.832350	1.084141	1.429068	11.172245
86169	491666.182270	56.657482	1.094943	1.430623	11.338784
86171	491668.256197	56.549242	1.164440	1.432003	10.584005
86181	491678.624119	56.656785	1.104821	1.428417	10.943378
86189	491686.918823	56.638067	1.095580	1.429206	10.845568
86199	491697.287163	56.441696	1.157385	1.429619	10.806956
86211	491709.728984	56.603520	1.085143	1.426127	11.361103
86225	491724.244553	56.254686	1.196357	1.428068	11.286606
86239	491738.760406	56.665617	1.103531	1.425077	11.067597
86251	491751.202295	56.833238	1.076893	1.422026	11.069149
86255	491755.349860	56.689269	1.087915	1.424208	11.011357
86273	491774.013177	56.726590	1.092373	1.422230	11.293881
86277	491778.161250	56.681735	1.079488	1.422339	10.771008
86283	491784.382204	56.444383	1.152902	1.423267	10.837476
86285	491786.455398	56.519292	1.148424	1.422751	11.137602
86291	491792.676977	56.634453	1.084698	1.420704	11.032602
86303	491805.118764	56.581743	1.087199	1.418912	11.241476
86305	491807.192732	57.887761	1.168382	1.433637	10.696780
86325	491827.928363	56.662344	1.071727	1.418562	11.458475
86327	491830.002370	56.141063	1.165939	1.420114	11.365506
86333	491836.223544	56.662261	1.084900	1.418032	10.952674
86337	491840.370854	56.181109	1.188725	1.419054	10.908866
86343	491846.591470	56.721313	1.085468	1.416627	11.198215
86347	491850.739479	56.665082	1.098440	1.417078	10.802870
86371	491875.623252	56.704742	1.112642	1.415599	10.846759
86379	491883.918005	56.718104	1.110868	1.415436	11.343351
86383	491888.065097	56.707638	1.083109	1.414596	10.969691
86387	491892.212569	56.689216	1.096082	1.413799	11.460125
86389	491894.286920	56.470257	1.176135	1.415075	10.921917
86395	491900.507721	56.466518	1.183405	1.415005	11.303021
86401	491906.728757	56.759264	1.096330	1.413297	11.063158
86405	491910.875696	56.708568	1.091738	1.412810	11.095898
86411	491917.096785	56.472049	1.152530	1.413932	10.493454
86413	491919.170333	56.583228	1.170282	1.413883	10.813080
86427	491933.686099	56.754559	1.074354	1.408522	10.989868
86443	491950.276926	56.673569	0.960524	1.407785	10.947587
86447	491954.424118	56.581935	0.949339	1.410176	11.095585
86461	491968.939446	56.758550	0.847366	1.407281	11.050313
86463	491971.013086	57.032016	0.866960	1.411956	11.034416
86467	491975.160859	56.757973	0.892053	1.409208	10.470841
86475	491983.455952	56.684596	0.815224	1.405562	10.985103
86477	491985.529174	56.599949	0.824313	1.408956	11.576363
86483	491991.750698	56.533817	0.869530	1.408259	10.939400
86485	491993.824258	56.401632	0.870165	1.409575	11.254053
86493	492002.118687	56.532548	0.761254	1.407338	11.047304
86495	492004.192596	56.423980	0.800325	1.408549	11.060425
86497	492006.267793	56.345820	0.827223	1.408114	11.332978
86505	492014.562160	56.578269	0.719186	1.406618	11.025465
86507	492016.636251	56.390824	0.801953	1.408597	11.196126
86513	492022.856910	56.411840	0.792404	1.408276	10.949328
86521	492031.151544	56.619302	0.676619	1.405970	11.211639
86523	492033.224995	56.449116	0.736595	1.405497	10.814364
86527	492037.373522	56.322230	0.659897	1.406024	10.957137
86543	492053.962384	56.789481	0.623607	1.401318	11.069062
86551	492062.257572	56.686821	0.602708	1.400925	10.892477
86555	492066.405443	56.585172	0.637530	1.403838	11.759413
86565	492076.773671	56.694773	0.599224	1.400143	10.867582
86581	492093.362984	56.591244	0.599577	1.402679	10.965154
86589	492101.657870	56.559232	0.590029	1.402079	11.206827
86595	492107.879142	56.590310	0.571429	1.401313	11.316897
86615	492128.616198	56.553226	0.549533	1.399740	10.658266
86621	492134.837273	56.355633	0.606019	1.400341	10.841455
86623	492136.910782	56.716266	0.504741	1.396414	10.856753
86627	492141.058655	56.587317	0.528427	1.398376	11.120602
86647	492161.795018	56.568706	0.518529	1.396799	11.235329
86649	492163.868705	56.395150	0.558516	1.398095	10.669128
86651	492165.942282	56.403058	0.583777	1.398067	11.017055
86663	492178.385257	56.562420	0.498274	1.396441	11.207939
86665	492180.458707	56.607866	0.567951	1.397369	11.241758
86697	492213.637705	56.603524	0.522558	1.394532	10.862663
86699	492215.711619	56.350875	0.583084	1.395888	11.105293
86701	492217.785190	56.727695	0.484927	1.390658	11.027679
86709	492226.080140	56.813693	0.498577	1.390431	10.805161
86711	492228.153785	56.741943	0.475036	1.390221	11.165169
86713	492230.227940	56.607313	0.524873	1.392966	10.725797
86723	492240.595902	56.782313	0.503895	1.389683	11.338756
86725	492242.670312	56.678208	0.535982	1.392975	11.153744
86729	492246.816646	56.466374	0.591778	1.393750	10.875433
86733	492250.964999	56.640324	0.526101	1.392479	11.848640
86735	492253.038200	56.484317	0.591366	1.392997	10.770881
86739	492257.185789	56.641212	0.522890	1.391950	11.050206
86743	492261.332727	56.474177	0.603926	1.391677	10.973238
86751	492269.627821	56.631881	0.530717	1.391244	11.110535
86761	492279.996660	56.596517	0.540448	1.390614	11.151109
86763	492282.070361	56.447129	0.588652	1.391517	10.807252
86767	492286.218136	58.146597	0.622574	1.401681	11.006492
86789	492309.028819	56.641422	0.530532	1.389368	11.264421
86791	492311.101696	56.228081	0.595670	1.390303	10.442230
86805	492325.618125	56.833880	0.511317	1.384970	11.159891
86807	492327.691462	56.789498	0.484971	1.384800	11.210519
86811	492331.839194	56.528238	0.532846	1.388295	10.654758
86813	492333.912402	56.793027	0.504633	1.384685	11.503264
86825	492346.355748	56.591942	0.532883	1.387201	11.030816
86827	492348.428687	56.786192	0.508501	1.383924	10.739913
86831	492352.576449	56.963538	0.514697	1.383813	11.251437
86835	492356.723664	56.606137	0.536278	1.386454	10.970742
86839	492360.871197	56.616612	0.530095	1.386474	10.798172
86841	492362.944718	56.763696	0.496482	1.382670	10.815108
86849	492371.239141	56.662096	0.523573	1.385543	10.855673
86855	492377.460836	56.850037	0.503202	1.382203	10.860264
86859	492381.608395	56.689892	0.525083	1.384670	10.978750
86863	492385.755059	56.741643	0.503678	1.381232	10.655127
86879	492402.345592	56.727756	0.530450	1.384180	11.722902
86881	492404.419391	56.748207	0.495796	1.380551	10.900222
86885	492408.566477	56.862769	0.510424	1.380182	11.144341
86887	492410.640648	56.622808	0.527353	1.383597	11.304054
86893	492416.861072	56.842484	0.503773	1.379807	10.599409
86895	492418.935091	56.919776	0.504642	1.380106	10.922960
86899	492423.082586	56.641346	0.540935	1.382689	11.110301
86905	492429.303122	56.762872	0.498878	1.378796	11.013669
86917	492441.745845	56.778178	0.509034	1.378622	10.507013
86923	492447.967108	56.616739	0.533742	1.381802	11.388826
86931	492456.262033	56.647329	0.519553	1.381807	11.562645
86939	492464.556649	56.764540	0.497728	1.377281	11.359698
86947	492472.850743	56.785054	0.497904	1.376885	10.864960
86953	492479.072215	56.803338	0.520198	1.376399	11.021220
86959	492485.293947	56.682532	0.543930	1.379543	10.814198
86963	492489.440527	56.787530	0.508414	1.375682	10.589477
86987	492514.326355	56.588187	0.536475	1.378532	10.453551
86989	492516.399154	56.765062	0.504421	1.374677	11.560213
86995	492522.620457	56.682485	0.545604	1.378086	10.797010
87013	492541.284033	56.672827	0.542171	1.377013	10.972954
87015	492543.357719	56.419789	0.602217	1.378097	11.021629
87023	492551.651820	56.691285	0.553624	1.376552	11.145898
87037	492566.168009	57.028799	0.547821	1.375631	10.887625
87041	492570.315992	56.775408	0.519052	1.371582	10.853510
87043	492572.389740	56.585741	0.541499	1.375643	11.180084
87049	492578.610541	56.811912	0.514161	1.371593	11.391583
87051	492580.684429	56.668707	0.542750	1.374649	11.078396
87059	492588.979029	56.770812	0.509164	1.370684	11.292694
87067	492597.273738	56.651207	0.551710	1.372677	10.847859
87069	492599.347566	56.455189	0.620899	1.374933	10.958238
87073	492603.494559	56.753815	0.500721	1.370220	11.229143
87077	492607.642406	56.508813	0.547852	1.373750	11.233967
87079	492609.716102	56.451581	0.596632	1.373998	10.698672
87087	492618.010449	56.821430	0.494633	1.369614	11.057123
87101	492632.527161	56.768089	0.525367	1.368350	11.098353
87103	492634.600189	56.658984	0.531972	1.372506	11.261332
87109	492640.821324	56.765570	0.510124	1.368045	10.925187
87115	492647.042362	56.656342	0.551388	1.371170	10.494394
87121	492653.264638	56.661542	0.533990	1.371887	11.207934
87131	492663.632713	57.581079	0.541819	1.372778	11.458743
87147	492680.222106	57.500467	0.565692	1.370599	11.045941
87157	492690.590490	56.716837	0.543194	1.369462	10.311910
87169	492703.033215	56.839570	0.524715	1.365090	11.024952
87179	492713.401277	56.681844	0.546932	1.368803	10.952751
87181	492715.475106	56.812908	0.508490	1.364548	10.980136
87187	492721.696762	56.821662	0.513908	1.364176	11.324296
87201	492736.212010	56.681281	0.536460	1.367427	11.199170
87205	492740.359963	56.794842	0.491073	1.363229	11.069319
87213	492748.654766	56.499428	0.582553	1.366996	10.591538
87215	492750.728017	56.805364	0.511380	1.362813	11.426390
87219	492754.876049	56.839615	0.506811	1.362599	11.253108
87227	492763.170382	56.679972	0.538077	1.365517	10.908824
87237	492773.539398	56.679288	0.537743	1.365663	11.237671
87241	492777.687018	56.854546	0.509788	1.361628	10.795416
87243	492779.761524	56.602717	0.553406	1.364306	11.013025
87245	492781.834400	56.813595	0.525425	1.361310	10.940614
87255	492792.203994	56.717958	0.534440	1.364463	10.957530
87263	492800.497293	56.676037	0.520055	1.364041	10.967369
87265	492802.571603	56.487685	0.598400	1.365064	11.074899
87277	492815.013171	56.798509	0.482145	1.359928	10.981646
87281	492819.160976	56.591755	0.522419	1.363267	11.289964
87283	492821.234750	56.802272	0.491851	1.359795	10.883949
87285	492823.308118	56.650280	0.532603	1.363616	11.610696
87287	492825.381873	56.807210	0.490732	1.359246	10.825524
87289	492827.455923	56.971911	0.503920	1.359613	10.687250
87299	492837.823858	56.814847	0.488037	1.358585	10.967976
87315	492854.414063	56.666842	0.505905	1.361333	10.914409
87317	492856.487887	56.904891	0.468803	1.358206	11.183754
87327	492866.855777	56.643764	0.511131	1.361072	11.063517
87329	492868.929375	56.789571	0.492291	1.356778	10.850618
87339	492879.298199	56.843284	0.478188	1.356803	10.857654
87343	492883.445368	56.840837	0.485781	1.356157	10.991910
87349	492889.666939	56.602356	0.519382	1.359851	11.191158
87357	492897.961321	56.859693	0.474344	1.355655	10.839622
87359	492900.035065	56.690842	0.508837	1.359730	11.207632
87361	492902.108569	56.816149	0.468266	1.355492	10.847031
87367	492908.329503	56.693435	0.504950	1.359126	10.703370
87369	492910.403106	56.865851	0.476944	1.355148	10.852432
87377	492918.698416	56.663667	0.514469	1.358640	11.098725
87387	492929.067118	56.469672	0.554625	1.358489	10.692542
87401	492943.583086	56.459077	0.543949	1.358014	11.116193
87403	492945.656591	56.793369	0.466067	1.353334	10.837911
87407	492949.803646	56.814825	0.485642	1.352589	11.140226
87411	492953.951157	56.682420	0.497984	1.356467	10.819663
87417	492960.172124	57.494435	0.482818	1.354544	10.958396
87423	492966.393717	56.672082	0.503983	1.356887	11.032007
87427	492970.541590	56.653623	0.509270	1.355483	11.346894
87429	492972.614716	56.555295	0.555671	1.356674	11.205844
87459	493003.720363	56.887903	0.472311	1.350972	11.180502
87463	493007.868081	56.801485	0.483197	1.350261	11.274213
87467	493012.015163	56.849751	0.484126	1.350546	10.917164
87469	493014.089274	56.957419	0.494499	1.350598	11.058071
87471	493016.162501	56.632944	0.519752	1.354854	11.050283
87485	493030.678752	56.786006	0.483508	1.349436	10.855762
87489	493034.826489	56.626152	0.507853	1.352750	10.835765
87499	493045.196053	56.641477	0.519115	1.352757	10.944641
87503	493049.343084	56.709164	0.520023	1.353109	11.368565
87505	493051.417383	56.842480	0.479621	1.348490	11.099717
87521	493068.006193	56.486255	0.539046	1.353460	10.895672
87527	493074.227296	56.800036	0.480999	1.346902	11.022634
87535	493082.522245	56.823898	0.455032	1.347295	10.878125
87537	493084.595670	56.814899	0.485937	1.346886	10.984986
87545	493092.890420	56.821575	0.473329	1.346672	11.182214
87547	493094.965003	56.551743	0.503043	1.350632	10.995076
87549	493097.038294	56.799540	0.466393	1.346632	11.085130
87553	493101.185727	56.803705	0.486502	1.346047	10.903764
87555	493103.260014	56.606920	0.519502	1.349746	11.012038
87559	493107.406130	56.630019	0.514206	1.349538	11.428566
87563	493111.554316	56.651723	0.514748	1.349676	10.858722
87567	493115.701430	56.655940	0.511112	1.349103	10.904079
87569	493117.775093	56.819808	0.485372	1.345411	11.162721
87573	493121.921923	56.457714	0.520798	1.349071	11.363937
87575	493123.996262	56.808136	0.484679	1.345049	10.883901
87577	493126.070449	56.601797	0.523077	1.349132	10.398860
87585	493134.365115	56.709755	0.516300	1.348610	11.054862
87591	493140.586765	56.852043	0.504354	1.344626	10.690485
87593	493142.659529	56.806947	0.477584	1.344574	10.745669
87599	493148.880621	56.658933	0.526343	1.349054	10.662919
87615	493165.469938	56.805100	0.475997	1.343456	11.322222
87617	493167.544006	56.660507	0.521840	1.347018	11.023744
87619	493169.617974	56.833088	0.465243	1.343430	11.078555
87625	493175.838924	56.843846	0.500464	1.342895	10.703578
87631	493182.059704	56.459851	0.525193	1.346723	10.966562
87633	493184.133860	56.787309	0.471683	1.342726	11.038379
87635	493186.206752	56.817454	0.497565	1.342509	10.833015
87641	493192.428414	56.353526	0.520455	1.347485	10.979168
87647	493198.649689	56.825372	0.473670	1.342556	11.158821
87651	493202.797409	56.642067	0.520239	1.345653	11.515682
87655	493206.944826	56.603171	0.513013	1.345648	10.803029
87657	493209.017527	56.818358	0.476819	1.341626	10.700533
87685	493238.049074	56.760831	0.452559	1.339706	11.046179
87707	493260.860434	56.490170	0.506271	1.341247	11.368658
87709	493262.934348	56.793216	0.452846	1.337865	10.510952
87711	493265.008428	56.852962	0.477997	1.338414	11.040865
87713	493267.081820	56.879758	0.493969	1.342063	11.487234
87719	493273.302842	56.688914	0.492721	1.341289	10.856304
87721	493275.376374	56.833938	0.451435	1.338087	11.209719
87739	493294.039913	56.807160	0.462218	1.337126	11.091990
87741	493296.112859	56.694573	0.492531	1.340657	11.248300
87749	493304.407770	56.857799	0.482460	1.336687	11.567482
87753	493308.555896	56.649803	0.512111	1.340356	10.791877
87763	493318.923592	56.951093	0.478773	1.336408	11.302259
87777	493333.440184	56.629633	0.506569	1.339192	11.128595
87781	493337.586854	56.786349	0.462519	1.334779	11.194324
87785	493341.735879	56.634647	0.511176	1.338870	10.699813
87789	493345.882768	56.799856	0.468504	1.334819	11.223506
87793	493350.029795	56.857239	0.474258	1.334198	10.833536
87797	493354.176935	56.827832	0.462607	1.334241	11.253125
87809	493366.619486	56.447414	0.547607	1.338069	10.798623
87817	493374.915254	56.786384	0.471837	1.333061	10.993452
87821	493379.062710	56.841478	0.477228	1.333208	10.565070
87823	493381.136192	56.605692	0.490125	1.336377	10.851536
87825	493383.209459	56.776486	0.467025	1.332618	10.727002
87833	493391.504783	56.618801	0.509700	1.336626	11.374798
87835	493393.579090	56.764704	0.470152	1.332209	11.013457
87845	493403.947157	56.844867	0.474506	1.332479	11.373966
87849	493408.094932	56.851726	0.476589	1.331856	10.772360
87859	493418.463884	56.799383	0.461277	1.331657	11.047026
87865	493424.685137	56.477355	0.586028	1.336708	11.056877
87869	493428.831264	56.808507	0.469132	1.330753	11.015395
87873	493432.978957	56.601357	0.495989	1.334556	10.971074
87875	493435.052806	56.786843	0.470342	1.330708	10.656596
87879	493439.200311	57.276606	0.518446	1.332610	11.496395
87887	493447.495416	56.815753	0.499561	1.330904	11.199329
87901	493462.010263	56.636187	0.511927	1.334286	10.753295
87907	493468.231049	56.441314	0.517651	1.333894	11.222027
87909	493470.303854	56.897017	0.468041	1.329639	10.978028
87913	493474.452444	56.579592	0.520575	1.331697	11.311847
87917	493478.598751	56.860793	0.477832	1.328552	11.229732
87923	493484.819946	56.802827	0.465485	1.328343	11.201717
87929	493491.041938	56.638581	0.507474	1.332040	10.931523
87931	493493.115562	56.554143	0.560194	1.332712	10.894390
87933	493495.189921	56.865812	0.469149	1.327905	10.856959
87937	493499.336975	56.664253	0.508540	1.331200	10.922871
